number,sci_name,sex,predicted_attractiveness_sex_model,sd_sex_model
6021,Harpagus diodon,male,6.1929,0.0389
6022,Harpagus diodon,unknown,6.0564,0.0621
6023,Harpia harpyja,unknown,6.1082,0.065
6024,Harpyopsis novaeguineae,unknown,5.7503,0.0573
6025,Hartertula flavoviridis,unknown,5.6201,0.059
6026,Hartlaubius auratus,unknown,5.1374,0.049
6027,Hedydipna collaris,male,6.6862,0.0611
6028,Hedydipna collaris,unknown,6.8876,0.0759
6029,Hedydipna metallica,male,6.8656,0.0562
6030,Hedydipna metallica,unknown,6.9203,0.0677
6031,Hedydipna pallidigaster,female,6.2231,0.0604
6032,Hedydipna pallidigaster,male,5.5721,0.0574
6033,Hedydipna pallidigaster,unknown,5.3519,0.0783
6034,Hedydipna platura,male,6.8556,0.0769
6035,Hedydipna platura,unknown,7.4695,0.0924
6036,Heinrichia calligyna,unknown,5.5624,0.0525
6037,Heleia crassirostris,male,5.5903,0.0495
6038,Heleia crassirostris,unknown,5.5455,0.0627
6039,Heleia muelleri,unknown,5.1403,0.0539
6040,Heliactin bilophus,male,7.2489,0.0949
6041,Heliactin bilophus,unknown,7.4495,0.1095
6042,Heliangelus amethysticollis,male,7.4499,0.0591
6043,Heliangelus amethysticollis,unknown,6.8346,0.0669
6044,Heliangelus exortis,female,6.8738,0.0372
6045,Heliangelus exortis,male,7.6481,0.0723
6046,Heliangelus exortis,unknown,7.4067,0.1018
6047,Heliangelus mavors,unknown,6.739,0.0771
6048,Heliangelus micraster,male,7.0514,0.0665
6049,Heliangelus micraster,unknown,7.2525,0.0938
6050,Heliangelus regalis,male,7.8686,0.1202
6051,Heliangelus regalis,unknown,7.0655,0.1047
6052,Heliangelus strophianus,unknown,7.5592,0.0999
6053,Heliangelus viola,male,7.3593,0.0982
6054,Heliangelus viola,unknown,7.431,0.1325
6055,Helicolestes hamatus,unknown,6.2928,0.0511
6056,Heliobletus contaminatus,unknown,5.0094,0.0421
6057,Heliodoxa aurescens,female,7.2888,0.0622
6058,Heliodoxa aurescens,unknown,7.5614,0.077
6059,Heliodoxa gularis,male,6.546,0.0754
6060,Heliodoxa gularis,unknown,6.4537,0.0692
6061,Heliodoxa imperatrix,unknown,7.3823,0.1003
6062,Heliodoxa jacula,female,7.127,0.0366
6063,Heliodoxa jacula,unknown,7.3242,0.1133
6064,Heliodoxa leadbeateri,female,7.5485,0.0678
6065,Heliodoxa leadbeateri,unknown,7.8284,0.1175
6066,Heliodoxa rubinoides,unknown,6.7231,0.0736
6067,Heliodoxa schreibersii,female,6.7865,0.0193
6068,Heliodoxa schreibersii,male,7.2135,0.1112
6069,Heliodoxa schreibersii,unknown,7.3881,0.1285
6070,Heliodoxa xanthogonys,female,6.3765,0.1059
6071,Heliodoxa xanthogonys,male,7.8457,0.0342
6072,Heliodoxa xanthogonys,unknown,6.8503,0.0955
6073,Heliomaster constantii,male,6.2275,0.0361
6074,Heliomaster constantii,unknown,6.7503,0.0755
6075,Heliomaster furcifer,female,7.113,0.0657
6076,Heliomaster furcifer,male,7.3785,0.048
